symbol,name,industry,exchange,price,pe_ttm,pb,turnover_rate,market_cap_10k,circulating_cap_10k,dividend_yield_ttm,date,market_cap,circulating_cap,median_pe,median_pb,pe_discount,pb_discount,score
601881.SH,中国银河,证券,SSE,16.12,11.0704,1.3372,0.4004,15537785.6058,10292896.4423,2.259,2026-03-06,1553.77856058,1029.28964423,19.207250000000002,1.22475,42.36343047547151,-9.181465605225547,20.96793250862094
603393.SH,新天然气,供气供热,SSE,98.91,14.3525,1.7867,6.525,1605813.9867,1603162.4018,0.0,2026-03-06,160.58139867,160.31624018000002,23.16695,2.1878,38.047520282126044,18.333485693390628,20.719053820867607
000758.SZ,中色股份,铅锌,SZSE,113.32,28.99,2.6585,2.9059,1584390.1843,1573029.1867,0.5786,2026-03-06,158.43901843,157.30291867,34.02905,4.69055,14.808083093709634,43.322211680932945,20.655696741763737
600267.SH,海正药业,化学制药,SSE,56.29,22.7361,1.4608,1.3961,1243205.5793,1243115.3603,1.9741,2026-03-06,124.32055793,124.31153603,24.56945,2.3919499999999996,7.461908996741884,38.92848930788686,20.58561039106281
603310.SH,巍华新材,化工原料,SSE,18.289999999999996,34.0717,1.5316,1.3975,607453.06,341263.59,1.7055,2026-03-06,60.74530600000001,34.126359,36.8989,2.6035,7.662017024897761,41.171499903975416,20.53275678115173
601326.SH,秦港股份,港口,SSE,4.2,12.3035,0.9807,0.6488,1989118.672,1693691.004,2.3876,2026-03-06,198.9118672,169.3691004,16.32525,1.10975,24.63515106966203,11.628745212885782,20.505483991730546
002039.SZ,黔源电力,水力发电,SZSE,47.63,18.6867,1.9173,5.8785,832883.2294,832880.8918,0.8214,2026-03-06,83.28832294,83.28808918,32.0871,2.0018,41.762577484409626,4.2212009191727295,20.43559126951567
002179.SZ,中航光电,元器件,SZSE,513.18,35.1883,3.1484,1.1283,7472401.8628,7398572.3243,2.2678,2026-03-06,747.24018628,739.8572324300001,46.41985,3.6221,24.19557581508772,13.078048645813201,20.405044919779048
601016.SH,节能风电,新型电力,SSE,8.85,24.3975,1.2727,3.5639,2196169.8153,2023545.2765,3.2129,2026-03-06,219.61698153,202.35452765,27.9625,1.5627,12.749217702279836,18.55762462404812,20.30567446812637
600167.SH,联美控股,供气供热,SSE,29.650000000000002,22.4006,1.434,0.384,1554571.3981,1554571.3981,2.8619,2026-03-06,155.45713981,155.45713981,23.16695,2.1878,3.3079451546276006,34.45470335496847,20.24528906834158
002340.SZ,格林美,小金属,SZSE,216.45,37.7357,2.2492,3.4595,4623620.1573,4598547.9238,0.7278,2026-03-06,462.36201573,459.85479238,46.013149999999996,3.52495,17.989313924388995,36.19200272344288,20.23672638678846
001283.SZ,豪鹏科技,电气设备,SZSE,63.67,33.0509,1.8078,2.1912,624244.3965,498073.0104,0.5721,2026-03-06,62.424439650000004,49.807301040000006,38.7738,3.1055,14.759708875580934,41.787151827402994,20.156329098453273
603053.SH,成都燃气,供气供热,SSE,12.0,18.8874,1.8997,1.0606,916445.59,916445.59,2.9098,2026-03-06,91.644559,91.644559,23.16695,2.1878,18.472651773323634,13.168479751348395,20.06900463473397
002906.SZ,华阳集团,汽车配件,SZSE,33.75,22.3996,2.4734,1.9388,1675541.5789,1674936.8289,1.5037,2026-03-06,167.55415789,167.49368289,33.56925,2.6611000000000002,33.27345710732291,7.053474127240634,19.936525081101355
600398.SH,海澜之家,服饰,SSE,58.59000000000001,14.2036,1.6665,0.5857,3001731.435,3001731.435,2.88,2026-03-06,300.1731435,300.1731435,19.0293,1.7297,25.35931432054779,3.6538127999074965,19.879869568191367
603013.SH,亚普股份,汽车配件,SSE,26.52,21.3904,2.6568,0.5385,1162298.1429,1162298.1429,1.7636,2026-03-06,116.22981429000001,116.22981429000001,33.56925,2.6611000000000002,36.27977985805462,0.16158731351697542,19.85118813727694
002958.SZ,青农商行,银行,SZSE,3.8699999999999997,5.7972,0.4634,0.9128,1722242.9645,1686270.1044,3.871,2026-03-06,172.22429645,168.62701044000002,6.088150000000001,0.5860000000000001,4.7789558404441435,20.92150170648466,19.801032848123054
605088.SH,冠盛股份,汽车配件,SSE,37.0,23.1437,2.4355,1.1364,699404.8829,689017.6229,1.5903,2026-03-06,69.94048828999999,68.90176229,33.56925,2.6611000000000002,31.056845178250924,8.477697192890155,19.736947229167416
600717.SH,天津港,港口,SSE,246.89,15.6089,0.6895,0.8724,1374650.4931,1374650.4931,2.1895,2026-03-06,137.46504931,137.46504931,16.32525,1.10975,4.387987932803483,37.86888938950214,19.684361989972032
000821.SZ,ST京机,电气设备,SZSE,23.05,31.145,2.039,3.1409,873893.3135,848325.0219,0.4989,2026-03-06,87.38933135,84.83250219,38.7738,3.1055,19.675141461502356,34.34229592658187,19.669445362575505
002950.SZ,奥美医疗,医疗保健,SZSE,18.77,15.0925,1.8297,1.2384,682660.1087,487250.8353,0.5438,2026-03-06,68.26601087,48.72508353,21.2576,2.3248,29.00186286316424,21.296455609084653,19.62108182799109
002926.SZ,华西证券,证券,SZSE,9.41,15.0665,0.9504,0.756,2310000.0,2310000.0,1.4205,2026-03-06,231.0,231.0,19.207250000000002,1.22475,21.5582657590233,22.400489895897124,19.60495327237846
002255.SZ,海陆重工,专用机械,SZSE,53.85,23.8891,2.4605,6.2507,1089285.0631,836381.6106,0.3703,2026-03-06,108.92850630999999,83.63816106,37.0845,2.8635,35.58198169046367,14.073686048541989,19.565798490748065
600956.SH,新天绿能,供气供热,SSE,9.25,21.3198,1.5555,1.0212,3700408.3199,1925432.7151,2.561,2026-03-06,370.04083199,192.54327150999998,23.16695,2.1878,7.973211838416361,28.901179266843403,19.542638515419565
600479.SH,千金药业,中成药,SSE,129.38,19.1524,1.8193,1.7822,551275.2179,468727.971,2.733,2026-03-06,55.12752179,46.8727971,22.1063,2.2639,13.362254199029245,19.638676619992058,19.435504665609315
601921.SH,浙版传媒,出版业,SSE,9.36,13.6879,1.2904,0.36,1755555.5562,1755555.5562,5.0633,2026-03-06,175.55555562,175.55555562,15.3866,1.2812,11.040125823768731,-0.7180768029972029,19.39052728860833
000403.SZ,派林生物,生物制药,SZSE,121.87,23.8207,1.6614,0.7383,1333407.5326,1319816.3152,1.919,2026-03-06,133.34075326,131.98163152,26.605449999999998,2.4093,10.466840440586422,31.04221143070601,19.256399605446372
600038.SH,中直股份,航空,SSE,112.88,54.2605,1.7967,2.1829,3100016.2384,2529244.0706,0.5395,2026-03-06,310.00162384000004,252.92440706000002,66.1467,2.7568,17.96945274669787,34.82661056297156,19.254264267570615
601199.SH,江南水务,水务,SSE,29.31,14.2628,1.28,0.9704,578895.1707,578895.1707,2.2617,2026-03-06,57.889517070000004,57.889517070000004,20.6358,1.2842,30.883222361139374,0.3270518610808293,19.236504502779997
601900.SH,南方传媒,出版业,SSE,17.29,11.0247,1.4437,0.6807,1247105.7129,1247105.7129,3.8897,2026-03-06,124.71057128999999,124.71057128999999,15.3866,1.2812,28.348693018600603,-12.683421792069938,19.203550669819258
601528.SH,瑞丰银行,银行,SSE,7.78,5.233,0.5438,1.0129,1049756.3463,927934.2478,3.7383,2026-03-06,104.97563463000002,92.79342478,6.088150000000001,0.5860000000000001,14.046138810640352,7.201365187713327,18.99376508057014
600360.SH,*ST华微,半导体,SSE,58.41,49.927,2.5777,1.3889,875789.3172,875789.3172,0.8114,2026-03-06,87.57893172,87.57893172,54.732,4.5064,8.779142001023166,42.79913012604296,18.785595838222154
000828.SZ,东莞控股,路桥,SZSE,37.4,10.4807,1.0966,0.5522,1115401.7324,1115400.2839,4.4268,2026-03-06,111.54017324000002,111.54002838999999,12.9667,1.0202,19.172187218027716,-7.488727700450903,18.702656577075814
002616.SZ,长青集团,环境保护,SZSE,29.48,17.6587,1.5309,3.46,521544.3354,356600.5227,2.1341,2026-03-06,52.15443354,35.660052269999994,24.110750000000003,1.6168,26.76005516211649,5.312963879267696,18.700211228626905
002396.SZ,星网锐捷,通信设备,SZSE,95.41,35.8592,2.5254,2.0323,1743614.3067,1736425.3876,0.8399,2026-03-06,174.36143067,173.64253876,42.2158,3.8141,15.05739557227389,33.78778742036129,18.678994455017943
600664.SH,哈药股份,化学制药,SSE,58.769999999999996,19.5692,1.5535,0.8338,878959.9467,878959.9467,0.0,2026-03-06,87.89599467,87.89599467,24.56945,2.3919499999999996,20.351493419673627,35.052990238090246,18.656494439296523
603018.SH,华设集团,建筑工程,SSE,61.74,16.1267,1.0298,1.2895,542250.5476,542250.5476,1.248,2026-03-06,54.225054760000006,54.225054760000006,20.061799999999998,1.3445,19.614889989931108,23.406470806991443,18.611897238069876
002029.SZ,七匹狼,服饰,SZSE,79.8,16.6511,1.1027,1.3862,752260.114,709988.1583,0.8959,2026-03-06,75.22601139999999,70.99881583,19.0293,1.7297,12.497569537502695,36.249060530727874,18.561445974219442
603418.SH,友升股份,汽车配件,SSE,54.39,20.8279,2.3799,1.4775,1050099.2669,219857.488,0.0,2026-03-06,105.00992668999999,21.9857488,33.56925,2.6611000000000002,37.95542051133105,10.567058735109548,18.352285825065284
603160.SH,汇顶科技,半导体,SSE,76.42,40.6682,3.6406,0.7851,3384388.6771,3384388.6771,0.7417,2026-03-06,338.43886771,338.43886771,54.732,4.5064,25.69575385514873,19.21267530623114,18.267204133928836
002438.SZ,江苏神通,机械基件,SZSE,75.6,30.5476,2.5083,2.3984,920672.9543,850549.5299,0.9647,2026-03-06,92.06729543,85.05495298999999,39.75035,3.1491,23.15136847851654,20.348671048871093,18.259248706067943
002152.SZ,广电运通,IT设备,SZSE,217.58999999999997,38.0226,2.6473,0.7261,3255714.9793,3254077.2977,2.8223,2026-03-06,325.57149792999996,325.40772977,40.9283,3.4168,7.099488617900096,22.521072348396153,18.063017151678885
603345.SH,安井食品,食品,SSE,103.35,22.1387,2.0302,1.3157,3070590.9305,2702119.7594,2.6379,2026-03-06,307.05909305,270.21197594,25.2255,2.456,12.236823848883072,17.337133550488602,18.00956960469981
601868.SH,中国能建,建筑工程,SSE,3.0,15.1594,1.0983,6.2516,12048746.2908,9371902.2868,0.9066,2026-03-06,1204.87462908,937.1902286800001,20.061799999999998,1.3445,24.43649124206202,18.31164001487542,17.987888501287433
600089.SH,特变电工,电气设备,SSE,2282.63,30.6017,2.3667,8.2636,16285150.4563,16285150.4563,0.7707,2026-03-06,1628.51504563,1628.51504563,38.7738,3.1055,21.076345367232506,23.79004991144744,17.879653120327234
603456.SH,九洲药业,医疗保健,SSE,69.71,20.6959,1.7088,1.4145,1496048.2191,1496048.2191,2.9468,2026-03-06,149.60482191,149.60482191,21.2576,2.3248,2.6423490892668933,26.496902959394365,17.846410523525066
603107.SH,上海汽配,汽车配件,SSE,15.48,26.4433,2.3711,0.8875,501954.48,324642.909,2.0161,2026-03-06,50.195448,32.4642909,33.56925,2.6611000000000002,21.227611579049267,10.897749051144267,17.808669346962986
002783.SZ,凯龙股份,化工原料,SZSE,45.96,30.1481,1.97,3.5479,516335.807,476868.7653,0.9671,2026-03-06,51.633580699999996,47.686876530000006,36.8989,2.6035,18.295396339728278,24.33262915306318,17.519247281810266
601000.SH,唐山港,港口,SSE,24.75,14.0389,1.1956,0.6049,2506667.8037,2506667.8037,4.7281,2026-03-06,250.66678037,250.66678037,16.32525,1.10975,14.004992266580917,-7.73597657129983,17.46550393524242
601298.SH,青岛港,港口,SSE,11.44,11.0317,1.3622,0.4751,6049705.2,5025413.9,3.7264,2026-03-06,604.97052,502.54139000000004,16.32525,1.10975,32.425537128068484,-22.748366749267856,17.324904826447035
