symbol,total_amount,total_shares,num_buyers,key_person_amount,key_person_count,latest_date,key_person_details
688533,17248104.0,969600,11,12168459.0,8,2026-01-29,"[{'name': '顾敏莉', 'title': '高级管理人员', 'amount': 1631160.0, 'shares': 92000, 'price': 17.73, 'date': Timestamp('2026-01-29 00:00:00'), 'is_key': True}, {'name': '顾建峰', 'title': '高级管理人员', 'amount': 1657755.0, 'shares': 93500, 'price': 17.73, 'date': Timestamp('2026-01-29 00:00:00'), 'is_key': True}, {'name': '陆喜春', 'title': '高级管理人员', 'amount': 1657755.0, 'shares': 93500, 'price': 17.73, 'date': Timestamp('2026-01-29 00:00:00'), 'is_key': True}]"
300961,12105846.0,1067100,2,12105846.0,5,2026-01-05,"[{'name': '肖吉成', 'title': '董事、高管', 'amount': 2420530.0, 'shares': 211400, 'price': 11.45, 'date': Timestamp('2026-01-05 00:00:00'), 'is_key': True}, {'name': '肖吉成', 'title': '董事、高管', 'amount': 2662550.0, 'shares': 235000, 'price': 11.33, 'date': Timestamp('2025-12-31 00:00:00'), 'is_key': True}, {'name': '郭腾', 'title': '高管', 'amount': 2012696.0, 'shares': 177800, 'price': 11.32, 'date': Timestamp('2025-12-30 00:00:00'), 'is_key': True}]"
300779,11778474.0,118400,1,11778474.0,8,2026-03-05,"[{'name': '张新功', 'title': '董事', 'amount': 1305500.0, 'shares': 14000, 'price': 93.25, 'date': Timestamp('2026-03-05 00:00:00'), 'is_key': True}, {'name': '张新功', 'title': '董事', 'amount': 962600.0, 'shares': 10000, 'price': 96.26, 'date': Timestamp('2026-02-12 00:00:00'), 'is_key': True}, {'name': '张新功', 'title': '董事', 'amount': 1096150.0, 'shares': 11000, 'price': 99.65, 'date': Timestamp('2026-02-11 00:00:00'), 'is_key': True}]"
688499,13639683.329999998,315077,2,11486049.12,1,2025-12-22,"[{'name': '高雪松', 'title': '董事、高级管理人员', 'amount': 11486049.12, 'shares': 265328, 'price': 43.29, 'date': Timestamp('2025-12-22 00:00:00'), 'is_key': True}]"
600216,11461000.0,1570000,11,11461000.0,11,2026-01-05,"[{'name': '马吉琪', 'title': '董事', 'amount': 876000.0, 'shares': 120000, 'price': 7.3, 'date': Timestamp('2026-01-05 00:00:00'), 'is_key': True}, {'name': '邵旻之', 'title': '高级管理人员', 'amount': 876000.0, 'shares': 120000, 'price': 7.3, 'date': Timestamp('2026-01-05 00:00:00'), 'is_key': True}, {'name': '王红卫', 'title': '董事', 'amount': 1825000.0, 'shares': 250000, 'price': 7.3, 'date': Timestamp('2026-01-05 00:00:00'), 'is_key': True}]"
600580,11090600.0,460000,5,11090600.0,5,2025-12-19,"[{'name': '郑艳文', 'title': '高级管理人员', 'amount': 2411000.0, 'shares': 100000, 'price': 24.11, 'date': Timestamp('2025-12-19 00:00:00'), 'is_key': True}, {'name': '杨子江', 'title': '高级管理人员', 'amount': 1928800.0, 'shares': 80000, 'price': 24.11, 'date': Timestamp('2025-12-19 00:00:00'), 'is_key': True}, {'name': '戴芩', 'title': '高级管理人员', 'amount': 1928800.0, 'shares': 80000, 'price': 24.11, 'date': Timestamp('2025-12-19 00:00:00'), 'is_key': True}]"
600718,10414500.0,1310000,6,10414500.0,8,2026-03-06,"[{'name': '王楠', 'title': '高级管理人员', 'amount': 1908000.0, 'shares': 240000, 'price': 7.95, 'date': Timestamp('2026-03-06 00:00:00'), 'is_key': True}, {'name': '盖龙佳', 'title': '高级管理人员', 'amount': 2226000.0, 'shares': 280000, 'price': 7.95, 'date': Timestamp('2026-03-04 00:00:00'), 'is_key': True}, {'name': '徐洪利', 'title': '高级管理人员', 'amount': 2226000.0, 'shares': 280000, 'price': 7.95, 'date': Timestamp('2026-03-03 00:00:00'), 'is_key': True}]"
689009,10379992.879999999,1183248,3,10379992.88,3,2026-01-20,"[{'name': '徐鹏', 'title': '高级管理人员', 'amount': 375486.80000000005, 'shares': 17720, 'price': 21.19, 'date': Timestamp('2026-01-20 00:00:00'), 'is_key': True}, {'name': '凡孝金', 'title': '高级管理人员', 'amount': 7385611.2, 'shares': 520480, 'price': 14.19, 'date': Timestamp('2026-01-20 00:00:00'), 'is_key': True}, {'name': '陈中元', 'title': '董事、高级管理人员、核心技术人员', 'amount': 2618894.88, 'shares': 645048, 'price': 4.06, 'date': Timestamp('2025-12-17 00:00:00'), 'is_key': True}]"
605228,10206000.0,1400000,2,10206000.0,2,2026-03-03,"[{'name': '朱春亚', 'title': '董事', 'amount': 8019000.0, 'shares': 1100000, 'price': 7.29, 'date': Timestamp('2026-03-03 00:00:00'), 'is_key': True}, {'name': '吴超', 'title': '高级管理人员', 'amount': 2187000.0, 'shares': 300000, 'price': 7.29, 'date': Timestamp('2026-03-03 00:00:00'), 'is_key': True}]"
300298,10178040.0,571800,1,10178040.0,1,2026-01-29,"[{'name': '李心一', 'title': '董事、高管', 'amount': 10178040.0, 'shares': 571800, 'price': 17.8, 'date': Timestamp('2026-01-29 00:00:00'), 'is_key': True}]"
