symbol,name,industry,exchange,price,pe_ttm,pb,ps_ttm,turnover_rate,volume_ratio,market_cap_10k,circulating_cap_10k,dividend_yield_ttm,date,market_cap,circulating_cap,momentum_20d,momentum_60d,price_vs_ma120,price_vs_ma60,volatility_20d,pe_score,pb_score,ps_score,dividend_score,momentum_20d_score,momentum_60d_score,turnover_deviation,turnover_score,volume_ratio_deviation,volume_ratio_score,stability_score,total_score
002948.SZ,青岛银行,银行,SZSE,5.27,5.9126,0.7171,2.1048,1.5313,0.98,3067326.9395,1640288.2468,3.0361,2026-03-09,306.73269395,164.02882468,0.1901140684410496,8.65979381443298,,1.089105500637206,24.091173760056627,98.71959026888604,96.79897567221511,53.71318822023047,76.88860435339309,50.76824583866837,67.12548015364916,0.031300000000000106,98.46350832266326,0.21999999999999997,68.30985915492957,75.92829705505761,74.56626120358516
600098.SH,广州发展,火力发电,SSE,7.65,11.6414,0.9878,0.5339,0.9976,0.68,2681986.7105,2681986.7105,4.837,2026-03-09,268.19867105000003,268.19867105000003,11.51603498542273,11.353711790393017,,1.10310021629416,31.666567681895025,92.12548015364916,91.74135723431498,92.31754161331627,92.76568501920615,87.70806658130603,72.98335467349551,0.5024,69.65428937259924,0.5199999999999999,12.419974391805383,51.53649167733675,74.35979513444303
600578.SH,京能电力,火力发电,SSE,5.5,10.5876,1.5496,1.0065,0.789,1.0,3682041.5583,3682041.5583,2.1818,2026-03-09,368.20415583,368.20415583,8.267716535433077,17.27078891257994,,1.059900433595632,30.05055596564671,94.2381562099872,73.04737516005122,82.3943661971831,62.419974391805376,81.11395646606914,81.75416133162612,0.711,56.946222791293216,0.19999999999999996,71.79897567221511,57.04225352112676,74.21895006402048
600585.SH,海螺水泥,水泥,SSE,24.59,14.8043,0.6845,1.548,1.0967,1.16,13030985.0418,9835268.6418,3.8634,2026-03-09,1303.09850418,983.52686418,4.682843763303546,8.325991189427317,,1.046650208563889,41.634538425977766,83.86683738796415,97.37516005121638,68.82202304737515,85.65941101152369,70.35851472471191,66.00512163892446,0.4033,75.86427656850192,0.040000000000000036,94.78233034571063,30.281690140845072,74.11971830985917
601339.SH,百隆东方,纺织,SSE,7.31,20.0288,1.1948,1.4439,1.8049,1.53,1096184.939,1096184.939,5.6088,2026-03-09,109.6184939,109.6184939,9.267563527653211,35.621521335807046,,1.158815292345901,42.99570214593284,66.45326504481434,85.53137003841229,72.02304737516005,96.28681177976952,83.61075544174136,92.95774647887323,0.30489999999999995,81.24199743918054,0.33000000000000007,45.32650448143406,27.656850192061455,73.93725992317542
600016.SH,民生银行,银行,SSE,3.88,5.5969,0.3023,1.1868,0.8836,0.98,16987578.3788,13759303.8066,5.1031,2026-03-09,1698.7578378800001,1375.93038066,3.4666666666666623,-3.7220843672456705,,1.0049643859270452,16.472595718177494,99.16773367477593,99.93597951344431,79.2573623559539,94.0460947503201,66.26120358514724,26.952624839948786,0.6164,63.508322663252244,0.21999999999999997,68.30985915492957,94.62227912932138,73.86683738796415
600282.SH,南钢股份,普钢,SSE,5.71,13.1175,1.3057,0.6308,0.8369,1.16,3520266.9673,3520266.9673,3.5657,2026-03-09,352.02669673,352.02669673,6.331471135940414,7.53295668549907,,1.049503737287097,41.862908136087,88.348271446863,81.24199743918054,90.46094750320103,83.03457106274008,75.99231754161332,63.25224071702945,0.6631,60.24327784891165,0.040000000000000036,94.78233034571063,29.833546734955192,73.68117797695264
603201.SH,常润股份,汽车配件,SSE,18.04,13.3604,1.9821,1.1515,1.079,1.11,342723.4185,339791.9546,2.2105,2026-03-09,34.272341850000004,33.97919546,4.217215482380121,6.556408741878328,,1.0426540284360188,19.096747629926053,87.90012804097312,56.97823303457106,79.96158770806659,62.99615877080665,68.69398207426376,60.819462227912936,0.42100000000000004,74.77592829705506,0.08999999999999986,89.7247119078105,89.75672215108835,73.63636363636364
601311.SH,骆驼股份,电气设备,SSE,9.42,14.8264,1.1216,0.6738,1.9311,1.06,1105103.6432,1105103.6432,3.0786,2026-03-09,110.51036432000001,110.51036432000001,1.6181229773462924,3.630363036303641,,1.0030524597146306,24.315735081352255,83.80281690140845,88.02816901408451,89.69270166453265,77.40076824583866,58.38668373879642,52.30473751600512,0.43110000000000004,74.13572343149808,0.1399999999999999,82.01024327784891,75.22407170294494,73.63316261203585
600795.SH,国电电力,火力发电,SSE,5.07,12.1918,1.5215,0.5303,1.4724,0.92,9042658.8746,9042658.8746,4.142,2026-03-09,904.26588746,904.26588746,11.428571428571432,-11.672473867595812,,0.98888238736103,17.248794997434576,90.84507042253522,74.07170294494239,92.44558258642766,88.02816901408451,87.45198463508322,6.46606914212548,0.02760000000000007,98.52752880921895,0.2799999999999999,57.74647887323944,93.40588988476313,73.59475032010243
