symbol,name,industry,list_date,price,pe_ttm,pb,market_cap,circulating_cap,turnover_rate,dividend_yield_ttm,median_pe,median_pb,median_market_cap,stock_count,pe_vs_industry,growth_score
000055.SZ,方大集团,其他建材,1996-04-15,,384.8925,0.6948,42.310644540000006,26.62857782,1.3864,1.269,27.55155,2.03685,39.525135015,14.0,1296.9903689629075,40
601366.SH,利群股份,百货,2017-04-12,,279.4335,1.0458,42.36095873,42.36095873,1.2697,0.402,37.2023,1.3022,44.7216,17.0,651.1188824346881,40
603329.SH,上海雅仕,仓储物流,2017-12-29,,78.1193,1.9934,28.030736719999997,23.135540239999997,1.4143,0.1699,23.9118,1.8671,100.01544768,33.0,226.69769737117238,40
000757.SZ,浩物股份,汽车服务,1997-06-27,,60.1655,1.7633,28.074138209999997,28.073607250000002,2.9824,,,,,,0.0,40
605208.SH,永茂泰,铝,2021-03-08,,83.54,1.989,43.22214,43.22214,3.209,0.2973,22.0426,2.4935,181.04267826,19.0,278.99340368196135,40
002023.SZ,海特高新,航空,2004-07-21,,67.5525,1.9785,86.45838942,86.45838942,2.2043,,64.8122,3.1066,301.80269171000003,15.0,4.228062000672698,40
300696.SZ,爱乐达,航空,2017-08-22,,218.516,4.6703,88.38562437,80.16482226,2.3427,,64.8122,3.1066,301.80269171000003,15.0,237.15257312666444,40
600592.SH,龙溪股份,机械基件,2002-08-05,,115.656,3.4861,88.6609374,88.6609374,1.73,0.3831,41.7448,3.607,53.566907365000006,70.0,177.05486671393805,40
000017.SZ,深中华A,服饰,1992-03-31,,127.5561,13.7547,51.4821145,32.92939974,1.6079,,23.146349999999998,1.7324000000000002,62.333223125,32.0,451.0851602952518,40
002066.SZ,瑞泰科技,其他建材,2006-08-23,,255.5728,6.5563,46.3236604,45.5532,1.752,0.748,27.55155,2.03685,39.525135015,14.0,827.6167765515914,40
688212.SH,澳华内镜,医疗保健,2021-11-15,,457.9739,3.9984,52.49251445000001,52.49251445000001,2.0428,0.2014,36.9026,2.8358499999999998,67.744790975,94.0,1141.0342360700872,40
301370.SZ,国科恒泰,医药商业,2023-07-12,,53.4532,2.0954,52.51896,36.13033941,1.0059,0.7469,26.1519,1.3078500000000002,76.540098955,24.0,104.39509175241571,40
688305.SH,科德数控,机床制造,2021-07-09,,93.5409,4.3794,83.02680174999999,82.59394712000001,2.5828,0.3017,29.3766,3.6151,68.64574033999999,13.0,218.41976266824616,40
300946.SZ,恒而达,机械基件,2021-02-08,,148.9786,6.5598,78.0039,37.90215,2.1021,0.4708,41.7448,3.607,53.566907365000006,70.0,256.87941971215577,40
002912.SZ,中新赛克,IT设备,2017-11-21,,54.6386,3.2132,52.591616,49.96437939,1.7258,0.6494,37.1952,3.3306,81.30469813,33.0,46.896911429431746,40
603861.SH,白云电器,电气设备,2016-03-22,,50.1094,2.7746,110.5379668,108.09593475,7.6774,0.665,44.2981,3.26595,92.1528,172.0,13.11862134041867,40
002957.SZ,科瑞技术,专用机械,2019-07-26,,50.394,3.4841,111.58934122,111.24297363,7.9504,0.6363,45.8908,3.3432000000000004,61.19272684,132.0,9.812860093962188,40
600666.SH,奥瑞德,元器件,1993-07-12,,76.5796,9.9606,112.53419841,98.96789504,10.13,,49.2977,3.6356,91.562289,139.0,55.34112139105881,40
301150.SZ,中一科技,电气设备,2022-04-21,,489.8632,3.1609,112.53514783000001,107.39739953,5.9341,,44.2981,3.26595,92.1528,172.0,1005.8334330366314,40
688535.SH,华海诚科,半导体,2023-04-04,,465.1838,5.19,112.81682953,61.6352689,6.5148,0.1424,56.3646,4.3551,194.28398969,69.0,725.3119866015194,40
000533.SZ,顺钠股份,电气设备,1994-01-03,,109.4981,11.9297,113.08657919999999,112.11852287999999,7.8386,,44.2981,3.26595,92.1528,172.0,147.18464223070512,40
600830.SH,香溢融通,多元金融,1994-02-24,,53.01,1.9004,42.57004139,42.57004139,2.2137,0.1601,22.6332,1.6435,213.8028814,13.0,134.21345633847622,40
300817.SZ,双飞集团,机械基件,2020-02-18,,66.3061,4.1857,42.63364627,24.46352271,1.8785,1.4337,41.7448,3.607,53.566907365000006,70.0,58.836789252793174,40
002932.SZ,明德生物,医疗保健,2018-07-10,,602.2084,0.7685,42.7373519,28.68845259,1.2538,6.1628,36.9026,2.8358499999999998,67.744790975,94.0,1531.8861001663838,40
600770.SH,综艺股份,综合类,1996-11-20,,165.2,2.3545,80.73,80.73,2.6294,,46.08895,2.31785,62.147038214999995,8.0,258.437326083584,40
002676.SZ,顺威股份,家用电器,2012-05-25,,74.7568,4.0255,52.488,52.48628386,1.526,0.1372,28.5034,2.4257,72.63865877,63.0,162.2732726622087,40
300809.SZ,华辰装备,机床制造,2019-12-04,,185.5602,5.3401,87.64850144,52.05187753,2.6814,0.3471,29.3766,3.6151,68.64574033999999,13.0,531.6598925675538,40
920190.BJ,雷神科技,IT设备,2022-12-23,,110.8467,2.988,25.63000026,25.48725397,1.9043,0.4682,37.1952,3.3306,81.30469813,33.0,198.01345334881918,40
600654.SH,中安科,仓储物流,1990-12-19,,49.0955,5.8731,101.57775613,81.80403528,1.9977,,23.9118,1.8671,100.01544768,33.0,105.31913114027385,40
688203.SH,海正生材,塑料,2022-08-16,,291.0391,1.8161,26.814308399999998,26.814308399999998,1.2723,0.4507,38.6252,3.3695500000000003,44.932663250000004,42.0,653.495386431656,40
002999.SZ,天禾股份,批发业,2020-09-03,,57.2108,2.2417,26.8688616,26.56915984,3.5672,1.6041,,,,,0.0,40
002890.SZ,弘宇股份,农用机械,2017-08-02,,180.4475,4.4956,27.044125469999997,25.708286230000002,1.436,0.1633,30.2456,2.6423,39.756640000000004,5.0,496.60744042108604,40
001324.SZ,长青科技,运输设备,2023-05-22,,56.6434,2.4053,27.2688,16.13475136,3.2796,0.6696,36.9185,2.1153,46.792109894999996,36.0,53.42822704064357,40
605365.SH,立达信,家用电器,2021-07-20,,38.3628,2.7402,102.15962027,102.15962027,1.3752,2.0625,28.5034,2.4257,72.63865877,63.0,34.59025940764961,40
301365.SZ,矩阵股份,建筑工程,2022-11-22,,79.9006,2.7491,46.206,26.02484976,2.5719,2.7269,22.912149999999997,1.85595,82.64635561,66.0,248.72589433990265,40
603269.SH,海鸥股份,机械基件,2017-05-17,,47.3924,5.283,50.32653818,50.32653818,15.6241,1.3146,41.7448,3.607,53.566907365000006,70.0,13.528870661735127,40
001360.SZ,南矿集团,工程机械,2023-04-10,,98.2831,3.5529,50.3676,20.19176495,4.4249,0.6007,36.0433,2.8809,100.39983889999999,31.0,172.68063690061675,40
300238.SZ,冠昊生物,医疗保健,2011-07-06,,157.99,7.2624,41.54989835,41.54651065,2.5698,,36.9026,2.8358499999999998,67.744790975,94.0,328.12701544064646,40
300263.SZ,隆华科技,专用机械,2011-09-16,,73.6102,2.7486,115.40320267,108.77149978,5.2064,0.3861,45.8908,3.3432000000000004,61.19272684,132.0,60.402956583890465,40
002674.SZ,兴业科技,纺织,2012-05-07,,58.5976,1.7467,41.93867895,41.51478222,1.8762,1.0571,26.09245,2.0822000000000003,49.34744082,30.0,124.57684119352534,40
002201.SZ,九鼎新材,玻璃,2007-12-26,,102.788,6.936,80.28158489,74.16928534,4.2678,0.1948,42.4458,2.4408,202.371915,7.0,142.1629466284061,40
600628.SH,新世界,百货,1993-01-19,,76.8808,1.2504,53.10846903,53.10846903,4.9796,0.4872,37.2023,1.3022,44.7216,17.0,106.65604008354319,40
002840.SZ,华统股份,食品,2017-01-10,,87.2694,1.9705,79.09360635,78.5477601,1.4527,,27.69005,2.42235,59.643046725,64.0,215.1651947179583,40
002873.SZ,新天药业,中成药,2017-05-19,,335.7053,1.9941,25.19151278,24.63062233,1.7545,0.5604,21.885,2.327,66.944,43.0,1433.9515649988577,40
001231.SZ,农心科技,农药化肥,2022-08-19,,39.0957,2.5547,25.254838,12.6109935,5.5673,0.5925,26.456,2.5547,109.90693881000001,37.0,47.7763078318718,40
001259.SZ,利仁科技,家用电器,2022-08-31,,519.5627,3.5628,25.447037469999998,16.44088775,2.4806,0.457,28.5034,2.4257,72.63865877,63.0,1722.8095595613154,40
300920.SZ,润阳科技,塑料,2020-12-25,,120.5119,3.5527,42.12,23.326608189999998,3.4077,0.2374,38.6252,3.3695500000000003,44.932663250000004,42.0,212.00330354276483,40
