symbol,current_price,price_6m_ago,latest_date,start_date,return_6m,name,industry,current_price_fund,pe_ttm,pb,market_cap,circulating_cap,turnover_rate,dividend_yield_ttm,median_pe,median_pb,stock_count,hist_median_pe,hist_avg_pe,hist_std_pe,hist_median_pb,hist_avg_pb,excess_decline,pe_vs_hist_median,pb_vs_hist_median,sentiment_score,fundamental_score,total_score
603613.SH,,31.85,2026-03-09,2025-09-10,-18.398744113029835,国联股份,互联网,,13.046,2.1098,187.26777760000002,187.26777760000002,1.0935,0.2533,28.406,3.6488,14.0,12.20565,12.239975103734439,1.7369311515668244,2.3046499999999996,2.332156431535269,-18.398744113029835,6.8849262431742595,-8.454646041698295,40,50,90
601162.SH,,5.48,2026-03-09,2025-09-10,-27.73722627737227,天风证券,证券,,60.4597,1.4678,398.92981527,340.47963076999997,1.1369,,18.9809,1.2043,48.0,67.0248,75.06057142857144,13.1295850737306,1.5457,1.5897361344537817,-27.73722627737227,-9.795031092968575,-5.039787798408494,50,40,90
002368.SZ,,26.51,2026-03-09,2025-09-10,-21.953979630328178,太极股份,软件服务,,57.718,2.4861,128.94655307,128.36690907000002,1.4338,0.4471,53.08095,3.7054,22.0,68.2629,62.61035601659751,19.150441958911482,2.9207,2.891265767634854,-21.953979630328178,-15.447483186328148,-14.879994521861201,60,30,90
603352.SH,,55.68,2026-03-09,2026-01-16,-28.969109195402304,至信股份,汽车配件,,38.4619,3.1213,89.64666679999999,17.569048130000002,3.9948,,33.012,2.6005,113.0,43.0131,43.40712258064515,3.675453553754486,3.4906,3.5225774193548394,-28.969109195402304,-10.580962543969166,-10.579843006932904,60,30,90
002773.SZ,,38.96,2026-03-09,2025-09-10,-28.64476386036961,康弘药业,化学制药,,20.4832,2.7942,256.12722521,190.93986006,0.847,2.1578,24.5447,2.3659999999999997,54.0,18.42225,20.022192323651453,5.054941397778231,2.62745,2.8044632780082988,-28.64476386036961,11.187287112052013,6.346457591961786,50,40,90
600211.SH,,54.63,2026-03-09,2025-09-10,-23.796448837634998,西藏药业,生物制药,,13.6753,3.7782,134.18148129,134.18148129,0.7722,3.865,26.59555,2.39415,16.0,14.31445,14.192423029045644,1.6190665773399846,3.33385,3.448228008298755,-23.796448837634998,-4.465068514682721,13.32843409271563,50,40,90
002755.SZ,,21.74,2026-03-09,2025-09-10,-33.21067157313708,奥赛康,化学制药,,52.5229,4.2052,134.76888297,134.76760884,0.692,0.8264,24.5447,2.3659999999999997,54.0,75.2684,75.42526254545453,11.574489227639607,4.9321,4.937618909090908,-33.21067157313708,-30.21918892921864,-14.738143995458335,80,10,90
002422.SZ,,37.749999999224,2026-03-09,2025-09-10,-15.496688739984787,科伦药业,化学制药,,30.6058,2.1686,509.77902566999995,416.5771571,1.1445,1.9628,24.5447,2.3659999999999997,54.0,19.9404,21.867880912863072,5.286474886239089,2.3430999999999997,2.3392311203319496,-15.496688739984787,53.486389440532776,-7.447398745252003,40,50,90
002120.SZ,,8.01,2026-03-09,2025-09-10,-15.48064918851436,韵达股份,仓储物流,,15.8797,0.9643,196.27591251,190.58427785,1.0598,2.9467,24.45795,1.8714,32.0,12.3635,13.140583609958504,2.1269823663632486,1.0853000000000002,1.0979147302904566,-15.48064918851436,28.44016661948477,-11.148991062379073,40,50,90
600779.SH,,46.66,2026-03-09,2025-09-10,-22.653236176596643,水井坊,白酒,,32.4599,3.4953,175.93990416,175.93990416,0.563,2.6719,15.7895,2.8338,13.0,17.1028,19.955045850622405,7.519078816734087,4.39235,4.48103112033195,-22.653236176596643,89.79289940828401,-20.423008184684747,60,30,90
600104.SH,,18.85,2026-03-09,2025-09-10,-25.99469496021221,上汽集团,汽车整车,,56.0733,0.5426,1603.59121181,1603.59121181,0.5193,0.627,21.4357,1.7981500000000001,14.0,19.6047,33.41454356435643,28.40953653515516,0.6025,0.6066561881188118,-25.99469496021221,186.0196789545364,-9.941908713692957,50,40,90
600521.SH,,24.62,2026-03-09,2025-09-10,-35.78391551584078,华海药业,化学制药,,50.5728,2.5536,236.7155627,236.7155627,1.0261,1.5739,24.5447,2.3659999999999997,54.0,27.2329,31.107601867219923,12.688544117915317,3.0067000000000004,3.019570746887967,-35.78391551584078,85.70479089630557,-15.06967771975922,60,30,90
002901.SZ,,55.74,2026-03-09,2025-09-10,-20.66738428417654,大博医疗,医疗保健,,33.8051,5.4871,183.07942555,127.5642632,0.61,1.1105,20.9523,2.314,19.0,48.7044,53.390672941176476,16.26006728105749,5.08725,5.430595294117648,-20.66738428417654,-30.59128128054138,7.859845692663027,70,20,90
002558.SZ,,43.83000000002399,2026-03-09,2025-09-10,-21.629021218386498,巨人网络,互联网,,37.5278,4.3807,664.58683488,664.58683488,3.2342,0.8249,28.406,3.6488,14.0,23.9583,29.048180705394188,12.637941946608363,2.23095,3.0627585062240663,-21.629021218386498,56.63799184416255,96.3602949416168,50,35,85
603367.SH,,20.990000000022,2026-03-09,2025-09-10,-19.437827537006783,辰欣药业,化学制药,,15.5359,1.2618,76.56072321,76.56072321,1.0447,2.4128,24.5447,2.3659999999999997,54.0,13.0161,14.784629668049794,4.350627075987493,1.14115,1.2544414937759336,-19.437827537006783,19.3591014205484,10.57266792270954,40,45,85
002867.SZ,,14.109999999311999,2026-03-09,2025-09-10,-15.733522320483665,周大生,服饰,,12.4477,2.1549,129.06284588,128.30461,0.7678,7.5694,18.6031,1.7297,27.0,13.6278,13.586532780082988,2.014326538654703,2.3779500000000002,2.414579668049792,-15.733522320483665,-8.659504835703498,-9.379928089320641,40,45,85
002024.SZ,,1.91,2026-03-09,2025-09-10,-20.942408376963346,ST易购,电器连锁,,165.1181,1.1114,139.89799103000001,139.7420639,0.2284,,,,,24.6484,25.398594405594405,1.7575064776101739,1.3953,1.384560839160839,-20.942408376963346,569.8937862092469,-20.34687880742493,60,25,85
600559.SH,,17.88,2026-03-09,2025-09-10,-18.00894854586129,老白干酒,白酒,,21.2476,2.5422,134.10197528999998,133.33408448999998,0.8629,3.7517,15.7895,2.8338,13.0,22.5396,22.964378630705394,3.207358314722984,3.3284000000000002,3.35901908713693,-18.00894854586129,-5.732133666968365,-23.620959019348646,50,35,85
