symbol,current_price,price_6m_ago,latest_date,start_date,return_6m,name,industry,current_price_fund,pe_ttm,pb,market_cap,circulating_cap,turnover_rate,dividend_yield_ttm,median_pe,median_pb,stock_count,hist_median_pe,hist_avg_pe,hist_std_pe,hist_median_pb,hist_avg_pb,excess_decline,pe_vs_hist_median,pb_vs_hist_median,sentiment_score,fundamental_score,total_score
603363.SH,,5.19,2026-03-09,2025-09-10,-15.02890173410405,傲农生物,饲料,,6.3341,3.4349,114.79061653,93.90699031,6.1099,,30.1541,2.1334,11.0,8.5518,7.979319024390243,1.2408076707385998,3.4615,3.611964390243902,-15.02890173410405,-25.93255221123038,-0.7684529828109253,55,45,100
000997.SZ,,27.47,2026-03-09,2025-09-10,-16.59992719330178,新大陆,IT设备,,20.9289,3.2301,232.10073232999997,230.80436219,1.2311,0.9531,38.70145,3.3284000000000002,16.0,23.5508,22.70411368653422,5.348893941463475,3.6235,3.447453421633554,-16.59992719330178,-11.13295514377431,-10.856906306057672,50,45,95
000661.SZ,,121.95,2026-03-09,2025-09-10,-25.986059860598605,长春高新,生物制药,,38.3925,1.6004,368.20441368,360.69210907999997,1.2544,2.8366,26.59555,2.39415,16.0,11.722349999999999,18.544443983402488,11.772122001773132,1.80735,1.8504695020746884,-25.986059860598605,227.51538727302975,-11.450466152101141,50,45,95
603983.SH,,39.709999998252,2026-03-09,2025-09-10,-29.74061948821926,丸美生物,日用化工,,32.268,3.471,111.879,111.879,0.5533,2.6882,32.65235,3.7604,6.0,40.7313,41.45328755186722,6.270448422489117,4.0258,4.060275933609958,-29.74061948821926,-20.778369460341302,-13.781111828704857,65,30,95
600048.SH,,7.83,2026-03-09,2025-09-10,-18.90166028097063,保利发展,全国地产,,74.1136,0.4053,760.1231570399999,760.1231570399999,1.4616,2.6537,,,,18.0268,21.11300366197183,17.837947949882764,0.5336,0.5439115492957747,-18.90166028097063,311.13009519160363,-24.04422788605697,50,45,95
002959.SZ,,55.75,2026-03-09,2025-09-10,-24.771300448430498,小熊电器,家用电器,,18.4869,2.3531,65.35657913,63.1274568,0.5253,2.3701,26.2748,2.3427,48.0,21.5549,21.999567219917015,3.828553509423074,2.669,2.7408655601659753,-24.771300448430498,-14.233422562851144,-11.835893593106036,60,35,95
603605.SH,,80.839999998316,2026-03-09,2025-09-10,-17.24393864251161,珀莱雅,日用化工,,16.7824,4.9973,264.90794266,264.90794266,0.8304,2.9593,32.65235,3.7604,6.0,22.6914,23.029311899313498,4.71309813447367,6.7534,6.94290709382151,-17.24393864251161,-26.040702645054964,-26.003198388959635,65,30,95
002217.SZ,,3.61,2026-03-09,2025-09-10,-27.97783933518005,合力泰,元器件,,7.0321,10.3885,194.46437213000002,189.26238217,3.3748,,45.1886,3.5744,71.0,8.5394,8.759365957446807,0.6016384897047162,8.726,8.945429787234044,-27.97783933518005,-17.651123029721067,19.052257620903042,60,35,95
601098.SH,,12.850000000285,2026-03-09,2025-09-10,-16.108949418203036,中南传媒,出版业,,12.2246,1.2432,193.6088,193.6088,0.4858,5.102,15.202,1.2851,19.0,13.977350000000001,14.268918879668048,1.660232542574215,1.5189,1.5102564315352698,-16.108949418203036,-12.539930673554004,-18.151293699387704,50,45,95
601658.SH,,6.13,2026-03-09,2025-09-10,-18.923327895595435,邮储银行,银行,,6.8431,0.5975,5968.7241585500005,3335.98304144,0.2602,4.288,5.9952000000000005,0.5809,42.0,6.1608,6.597983609958507,0.9965616233782373,0.6389,0.6506470954356847,-18.923327895595435,11.07486040773925,-6.479887306307715,40,55,95
